Rua,Bairro,Cidade,Metragem,Quartos,Banheiros,Vagas,Valor_Anuncio,Valor_m2,apenas_rua,rua,cep,latitude,longitude,Point,setor_censo,Cod_setor,Cod_Grandes Regiï¿½es,Nome_Grande_Regiao,Cod_UF,Nome_da_UF ,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012
,Jardim Viana,São Paulo,498,3,5,4,3600000.0,7228.915662650603,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jardim Guedala,São Paulo,550,4,4,2,2800000.0,5090.909090909091,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jardim dos Estados,São Paulo,361,4,4,3,4200000.0,11634.349030470914,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Travessa Alberto Moravia, 18 ",Jardim Tremembé,São Paulo,120,2,2,4,350000.0,2916.6666666666665,travessa alberto moravia,travessa alberto moravia,2354460.0,-23.4544647,-46.6070757,POINT (-46.6070757 -23.4544647),355030881000012.0,355030881000012.0,3.0,Regiï¿½o Sudeste,35.0,Sï¿½o Paulo,3515.0,Metropolitana de Sï¿½o Paulo,35061.0,Sï¿½o Paulo,20.0,RM Sï¿½o Paulo,3550308.0,Sï¿½O PAULO,355030881.0,TREMEMBï¿½,35503088100.0,TREMEMBï¿½,3550308000.0,Sï¿½O PAULO (todos os setores),1.0,0.0,329.0,1067.0,3.24,2.02,1309.85,2050299.52,1412.92,2066056.75,813.42,1199176.55,1210.59,1304051.18
Rua Manuel Pereira Guimarães,Granja Julieta,São Paulo,203,3,4,2,1580000.0,7783.251231527093,rua manuel pereira guimarães,rua manuel pereira guimarães,4722030.0,-23.6420173,-46.7035933,POINT (-46.7035933 -23.6420173),355030871000015.0,355030871000015.0,3.0,Regiï¿½o Sudeste,35.0,Sï¿½o Paulo,3515.0,Metropolitana de Sï¿½o Paulo,35061.0,Sï¿½o Paulo,20.0,RM Sï¿½o Paulo,3550308.0,Sï¿½O PAULO,355030871.0,SANTO AMARO,35503087100.0,SANTO AMARO,3550308000.0,Sï¿½O PAULO (todos os setores),1.0,0.0,260.0,737.0,2.83,1.82,7600.23,97515947.44,7872.75,98872469.83,4154.66,51642859.53,5493.29,60946980.2
Rua Aliança Liberal,Bela Aliança,São Paulo,144,3,3,2,850000.0,5902.777777777777,rua aliança liberal,rua aliança liberal,5088000.0,-23.5222575,-46.7270965,POINT (-46.7270965 -23.5222575),355030888000033.0,355030888000033.0,3.0,Regiï¿½o Sudeste,35.0,Sï¿½o Paulo,3515.0,Metropolitana de Sï¿½o Paulo,35061.0,Sï¿½o Paulo,20.0,RM Sï¿½o Paulo,3550308.0,Sï¿½O PAULO,355030888.0,VILA LEOPOLDINA,35503088800.0,VILA LEOPOLDINA,3550308000.0,Sï¿½O PAULO (todos os setores),1.0,0.0,148.0,413.0,2.79,1.69,4468.29,42919608.04,4862.55,44803369.4,2628.8,21565362.27,3605.21,26071285.28
Rua Francisco Peixoto,Vila Pirajussara,São Paulo,384,2,1,2,786000.0,2046.875,rua francisco peixoto,rua francisco peixoto,14056838.0,-21.1704008,-47.8103238,POINT (-47.8103238 -21.1704008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Penha de França,São Paulo,110,3,4,2,550000.0,5000.0,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rua Romano Schiesari,Perdizes,São Paulo,700,5,7,8,7410000.0,10585.714285714286,rua romano schiesari,rua romano schiesari,5018020.0,-23.5404719,-46.6842908,POINT (-46.6842908 -23.5404719),355030860000020.0,355030860000020.0,3.0,Regiï¿½o Sudeste,35.0,Sï¿½o Paulo,3515.0,Metropolitana de Sï¿½o Paulo,35061.0,Sï¿½o Paulo,20.0,RM Sï¿½o Paulo,3550308.0,Sï¿½O PAULO,355030860.0,PERDIZES,35503086000.0,PERDIZES,3550308000.0,Sï¿½O PAULO (todos os setores),1.0,0.0,240.0,613.0,2.55,1.72,2947.27,12170800.99,3215.2,12416894.36,2126.01,8130826.6,2665.66,8757534.0
Rua Décio Reis,Alto de Pinheiros,São Paulo,365,4,7,6,4500000.0,12328.767123287673,rua décio reis,rua décio reis,5446010.0,-23.5522083,-46.7025433,POINT (-46.7025433 -23.5522083),355030802000014.0,355030802000014.0,3.0,Regiï¿½o Sudeste,35.0,Sï¿½o Paulo,3515.0,Metropolitana de Sï¿½o Paulo,35061.0,Sï¿½o Paulo,20.0,RM Sï¿½o Paulo,3550308.0,Sï¿½O PAULO,355030802.0,ALTO DE PINHEIROS,35503080200.0,ALTO DE PINHEIROS,3550308000.0,Sï¿½O PAULO (todos os setores),1.0,0.0,119.0,369.0,3.1,2.38,9395.81,71491012.78,10352.79,68840550.11,5229.92,52564212.98,7382.14,58331247.62
Rua Doutor Queirós Guimarães,Jardim Guedala,São Paulo,412,3,3,6,2000000.0,4854.368932038835,rua doutor queirós guimarães,rua doutor queirós guimarães,5609000.0,-23.5816591,-46.7117572,POINT (-46.7117572 -23.5816591),355030854000008.0,355030854000008.0,3.0,Regiï¿½o Sudeste,35.0,Sï¿½o Paulo,3515.0,Metropolitana de Sï¿½o Paulo,35061.0,Sï¿½o Paulo,20.0,RM Sï¿½o Paulo,3550308.0,Sï¿½O PAULO,355030854.0,MORUMBI,35503085400.0,MORUMBI,3550308000.0,Sï¿½O PAULO (todos os setores),1.0,0.0,106.0,371.0,3.5,2.77,15879.25,124018374.66,16184.62,121436217.33,6313.35,86798000.32,9256.02,100073596.83
Rua Deputado Fábio Aranha,Pacaembu,São Paulo,447,4,5,4,3999000.0,8946.308724832215,rua deputado fábio aranha,rua deputado fábio aranha,1250060.0,-23.5486129,-46.6709674,POINT (-46.6709674 -23.5486129),355030826000041.0,355030826000041.0,3.0,Regiï¿½o Sudeste,35.0,Sï¿½o Paulo,3515.0,Metropolitana de Sï¿½o Paulo,35061.0,Sï¿½o Paulo,20.0,RM Sï¿½o Paulo,3550308.0,Sï¿½O PAULO,355030826.0,CONSOLAï¿½ï¿½O,35503082600.0,CONSOLAï¿½ï¿½O,3550308000.0,Sï¿½O PAULO (todos os setores),1.0,0.0,150.0,476.0,3.17,1.82,7823.49,57503276.6,8264.25,57097486.2,3951.22,34958879.8,5815.25,40630162.55
,Jardim Guedala,São Paulo,700,4,5,3,3960000.0,5657.142857142857,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alto de Pinheiros,São Paulo,295,4,5,4,3200000.0,10847.457627118643,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vila Sônia,São Paulo,465,6,8,6,2800000.0,6021.505376344087,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rua Atlântica,Jardim América,São Paulo,500,5,3,8,13000000.0,26000.0,rua atlântica,rua atlântica,16026190.0,-21.2182853,-50.4630327,POINT (-50.4630327 -21.2182853),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jardim Guedala,São Paulo,969,4,6,8,18000000.0,18575.851393188856,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rua Mendes Pais,Vila Nova Conceição,São Paulo,250,3,5,3,3500000.0,14000.0,rua mendes pais,rua mendes pais,4507090.0,-23.5883331,-46.6665911,POINT (-46.6665911 -23.5883331),355030832000033.0,355030832000033.0,3.0,Regiï¿½o Sudeste,35.0,Sï¿½o Paulo,3515.0,Metropolitana de Sï¿½o Paulo,35061.0,Sï¿½o Paulo,20.0,RM Sï¿½o Paulo,3550308.0,Sï¿½O PAULO,355030832.0,MOEMA,35503083200.0,MOEMA,3550308000.0,Sï¿½O PAULO (todos os setores),1.0,0.0,164.0,489.0,2.98,2.56,10255.49,129824852.46,10382.1,130114929.96,5356.53,75037949.71,7244.22,87845768.0
,Alto de Pinheiros,São Paulo,232,4,4,4,3150000.0,13577.586206896553,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rua Baltazar de Morais,Vila Nivi,São Paulo,85,2,3,2,400000.0,4705.882352941177,rua baltazar de morais,rua baltazar de morais,2255010.0,-23.4757399,-46.5894166,POINT (-46.5894166 -23.4757399),355030882000121.0,355030882000121.0,3.0,Regiï¿½o Sudeste,35.0,Sï¿½o Paulo,3515.0,Metropolitana de Sï¿½o Paulo,35061.0,Sï¿½o Paulo,20.0,RM Sï¿½o Paulo,3550308.0,Sï¿½O PAULO,355030882.0,TUCURUVI,35503088200.0,TUCURUVI,3550308000.0,Sï¿½O PAULO (todos os setores),1.0,0.0,239.0,680.0,2.85,1.88,2242.95,47464171.63,2459.01,51523725.88,1355.0,19824586.56,2025.89,28301703.71
,Alto de Pinheiros,São Paulo,550,4,6,4,5950000.0,10818.181818181818,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rua Miralta,Alto de Pinheiros,São Paulo,510,4,3,5,2800000.0,5490.196078431372,rua miralta,rua miralta,5460020.0,-23.551278,-46.7095063,POINT (-46.7095063 -23.551278),355030802000017.0,355030802000017.0,3.0,Regiï¿½o Sudeste,35.0,Sï¿½o Paulo,3515.0,Metropolitana de Sï¿½o Paulo,35061.0,Sï¿½o Paulo,20.0,RM Sï¿½o Paulo,3550308.0,Sï¿½O PAULO,355030802.0,ALTO DE PINHEIROS,35503080200.0,ALTO DE PINHEIROS,3550308000.0,Sï¿½O PAULO (todos os setores),1.0,0.0,231.0,798.0,3.45,2.34,9914.58,241108526.78,12054.04,267486877.04,4452.73,99030343.89,7677.85,146106011.47
Rua Toriba,Vila Canero,São Paulo,145,2,2,2,480000.0,3310.344827586207,rua toriba,rua toriba,3191130.0,-23.5669048,-46.5715358,POINT (-46.5715358 -23.5669048),355030801000010.0,355030801000010.0,3.0,Regiï¿½o Sudeste,35.0,Sï¿½o Paulo,3515.0,Metropolitana de Sï¿½o Paulo,35061.0,Sï¿½o Paulo,20.0,RM Sï¿½o Paulo,3550308.0,Sï¿½O PAULO,355030801.0,ï¿½GUA RASA,35503080100.0,ï¿½GUA RASA,3550308000.0,Sï¿½O PAULO (todos os setores),1.0,0.0,218.0,676.0,3.1,2.21,1869.73,4795897.9,2111.93,4906204.6,1293.43,2795012.81,1740.5,2983388.39
,Morumbi,São Paulo,420,4,5,3,3200000.0,7619.047619047619,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rua Gil Eanes,Campo Belo,São Paulo,165,3,2,2,1895000.0,11484.848484848484,rua gil eanes,rua gil eanes,15085060.0,-20.811761,-49.3762272,POINT (-49.3762272 -20.811761),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alameda dos Guaicanãs,Planalto Paulista,São Paulo,284,3,3,9,2450000.0,8626.760563380281,alameda dos guaicanãs,alameda dos guaicanãs,4064030.0,-23.6159375,-46.6503045,POINT (-46.6503045 -23.6159375),355030877000098.0,355030877000098.0,3.0,Regiï¿½o Sudeste,35.0,Sï¿½o Paulo,3515.0,Metropolitana de Sï¿½o Paulo,35061.0,Sï¿½o Paulo,20.0,RM Sï¿½o Paulo,3550308.0,Sï¿½O PAULO,355030877.0,SAï¿½DE,35503087700.0,SAï¿½DE,3550308000.0,Sï¿½O PAULO (todos os setores),1.0,0.0,283.0,836.0,2.95,2.15,3411.08,17298378.0,4160.93,17983926.95,2299.4,11451071.27,3422.87,13203826.91
,Vila Madalena,São Paulo,383,4,4,4,3500000.0,9138.381201044387,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alto de Pinheiros,São Paulo,293,4,4,5,5950000.0,20307.16723549488,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jardim dos Estados,São Paulo,562,4,4,3,7500000.0,13345.195729537369,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sumaré,São Paulo,248,3,4,4,4255000.0,17157.25806451613,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rua Theodor Herzi,Perdizes,São Paulo,300,4,6,5,1990000.0,6633.333333333333,rua theodor herzi,rua theodor herzi,5014020.0,-23.5441941,-46.6759177,POINT (-46.6759177 -23.5441941),355030860000033.0,355030860000033.0,3.0,Regiï¿½o Sudeste,35.0,Sï¿½o Paulo,3515.0,Metropolitana de Sï¿½o Paulo,35061.0,Sï¿½o Paulo,20.0,RM Sï¿½o Paulo,3550308.0,Sï¿½O PAULO,355030860.0,PERDIZES,35503086000.0,PERDIZES,3550308000.0,Sï¿½O PAULO (todos os setores),1.0,0.0,215.0,473.0,2.2,1.24,5084.74,21141085.8,5606.26,20381777.15,4003.52,20659371.24,5167.74,20650684.18
Rua Honduras,Jardim Paulista,São Paulo,180,3,5,4,4350000.0,24166.666666666668,rua honduras,rua honduras,13465772.0,-22.7494346,-47.3422985,POINT (-47.3422985 -22.7494346),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rua Montezuma,Jardim das Bandeiras,São Paulo,300,4,5,4,4800000.0,16000.0,rua montezuma,rua montezuma,5436080.0,-23.5520027,-46.6831776,POINT (-46.6831776 -23.5520027),355030862000157.0,355030862000157.0,3.0,Regiï¿½o Sudeste,35.0,Sï¿½o Paulo,3515.0,Metropolitana de Sï¿½o Paulo,35061.0,Sï¿½o Paulo,20.0,RM Sï¿½o Paulo,3550308.0,Sï¿½O PAULO,355030862.0,PINHEIROS,35503086200.0,PINHEIROS,3550308000.0,Sï¿½O PAULO (todos os setores),1.0,0.0,118.0,336.0,2.85,2.76,4621.53,42655148.08,6197.05,47488025.65,2864.25,25064882.82,4537.43,32149908.76
Rua Engenheiro Guimarães Valadão,Cidade Jardim,São Paulo,425,4,6,2,3800000.0,8941.176470588236,rua engenheiro guimarães valadão,rua engenheiro guimarães valadão,5671010.0,-23.5880264,-46.6946052,POINT (-46.6946052 -23.5880264),355030854000009.0,355030854000009.0,3.0,Regiï¿½o Sudeste,35.0,Sï¿½o Paulo,3515.0,Metropolitana de Sï¿½o Paulo,35061.0,Sï¿½o Paulo,20.0,RM Sï¿½o Paulo,3550308.0,Sï¿½O PAULO,355030854.0,MORUMBI,35503085400.0,MORUMBI,3550308000.0,Sï¿½O PAULO (todos os setores),1.0,0.0,84.0,237.0,2.82,1.47,5162.62,28240896.67,6023.06,27758556.73,2850.88,24539044.13,4488.62,31332943.97
Praça Renzo Pagliari,Cidade Jardim,São Paulo,1000,3,3,12,14900000.0,14900.0,praça renzo pagliari,praça renzo pagliari,5675120.0,-23.5978947,-46.7025695,POINT (-46.7025695 -23.5978947),355030854000130.0,355030854000130.0,3.0,Regiï¿½o Sudeste,35.0,Sï¿½o Paulo,3515.0,Metropolitana de Sï¿½o Paulo,35061.0,Sï¿½o Paulo,20.0,RM Sï¿½o Paulo,3550308.0,Sï¿½O PAULO,355030854.0,MORUMBI,35503085400.0,MORUMBI,3550308000.0,Sï¿½O PAULO (todos os setores),1.0,0.0,72.0,202.0,2.81,2.81,30635.97,839016438.48,30635.97,839016438.48,14391.5,532816435.38,19086.6,617631151.19
Rua Américo Brasiliense,Chácara Santo Antônio (Zona Sul),São Paulo,370,3,6,3,2750000.0,7432.432432432432,rua américo brasiliense,rua américo brasiliense,16071005.0,-21.2072632,-50.4630062,POINT (-50.4630062 -21.2072632),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rua Monte Carmelo,Mirandópolis,São Paulo,150,3,1,7,1500000.0,10000.0,rua monte carmelo,rua monte carmelo,8726030.0,-23.5610949,-46.1806504,POINT (-46.1806504 -23.5610949),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Morumbi,São Paulo,491,5,4,8,3650000.0,7433.808553971487,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rua Leonardo Jones Júnior,Barra Funda,São Paulo,120,3,3,2,848000.0,7066.666666666667,rua leonardo jones júnior,rua leonardo jones júnior,1138040.0,-23.5235687,-46.6559813,POINT (-46.6559813 -23.5235687),355030869000039.0,355030869000039.0,3.0,Regiï¿½o Sudeste,35.0,Sï¿½o Paulo,3515.0,Metropolitana de Sï¿½o Paulo,35061.0,Sï¿½o Paulo,20.0,RM Sï¿½o Paulo,3550308.0,Sï¿½O PAULO,355030869.0,SANTA CECï¿½LIA,35503086900.0,SANTA CECï¿½LIA,3550308000.0,Sï¿½O PAULO (todos os setores),1.0,0.0,117.0,379.0,3.24,2.72,1728.27,2359557.8,1872.3,2285851.82,1106.79,1818010.81,1513.64,1870681.87
,Alto de Pinheiros,São Paulo,420,4,6,4,5200000.0,12380.952380952382,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rua Banibás,Alto de Pinheiros,São Paulo,250,3,5,4,3200000.0,12800.0,rua banibás,rua banibás,5460010.0,-23.5551534,-46.7096179,POINT (-46.7096179 -23.5551534),355030802000015.0,355030802000015.0,3.0,Regiï¿½o Sudeste,35.0,Sï¿½o Paulo,3515.0,Metropolitana de Sï¿½o Paulo,35061.0,Sï¿½o Paulo,20.0,RM Sï¿½o Paulo,3550308.0,Sï¿½O PAULO,355030802.0,ALTO DE PINHEIROS,35503080200.0,ALTO DE PINHEIROS,3550308000.0,Sï¿½O PAULO (todos os setores),1.0,0.0,127.0,428.0,3.37,2.5,7746.63,106807111.6,9025.89,112954925.4,3779.11,50715395.65,5962.27,67061716.25
Viela Um,Jardim Peri,São Paulo,440,3,2,10,1800000.0,4090.909090909091,viela um,viela um,12941255.0,-23.1292683,-46.5616555,POINT (-46.5616555 -23.1292683),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rua Veneza,Jardim Paulista,São Paulo,400,3,5,5,4000000.0,10000.0,rua veneza,rua veneza,13478851.0,-22.7425387,-47.2823404,POINT (-47.2823404 -22.7425387),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rua Domingos Leme,Vila Nova Conceição,São Paulo,1000,4,6,3,14000000.0,14000.0,rua domingos leme,rua domingos leme,12502380.0,-22.8149202,-45.1839194,POINT (-45.1839194 -22.8149202),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jardim Guedala,São Paulo,352,4,5,4,3600000.0,10227.272727272728,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rua Ubaíra,Indianópolis,São Paulo,200,4,3,3,1980000.0,9900.0,rua ubaíra,rua ubaíra,4517140.0,-23.6059509,-46.6745363,POINT (-46.6745363 -23.6059509),355030832000153.0,355030832000153.0,3.0,Regiï¿½o Sudeste,35.0,Sï¿½o Paulo,3515.0,Metropolitana de Sï¿½o Paulo,35061.0,Sï¿½o Paulo,20.0,RM Sï¿½o Paulo,3550308.0,Sï¿½O PAULO,355030832.0,MOEMA,35503083200.0,MOEMA,3550308000.0,Sï¿½O PAULO (todos os setores),1.0,0.0,78.0,204.0,2.62,1.69,5668.62,33296035.85,6408.0,32895211.38,3261.49,29216452.88,4665.44,35283185.17
Rua Melo Morais Filho,Jardim Guedala,São Paulo,545,4,6,4,8500000.0,15596.330275229358,rua melo morais filho,rua melo morais filho,5610040.0,-23.5853341,-46.7108966,POINT (-46.7108966 -23.5853341),355030854000007.0,355030854000007.0,3.0,Regiï¿½o Sudeste,35.0,Sï¿½o Paulo,3515.0,Metropolitana de Sï¿½o Paulo,35061.0,Sï¿½o Paulo,20.0,RM Sï¿½o Paulo,3550308.0,Sï¿½O PAULO,355030854.0,MORUMBI,35503085400.0,MORUMBI,3550308000.0,Sï¿½O PAULO (todos os setores),1.0,0.0,99.0,329.0,3.32,2.57,11740.12,146755472.35,12633.39,146635312.9,6203.44,120517159.54,9399.15,152727458.42
Rua Groenlândia,Jardim América,São Paulo,372,3,2,10,4650000.0,12500.0,rua groenlândia,rua groenlândia,13339410.0,-23.0820792,-47.2105429,POINT (-47.2105429 -23.0820792),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rua Maria Rosa Halter Frank,Itaim Bibi,São Paulo,100,3,2,1,1970000.0,19700.0,rua maria rosa halter frank,rua maria rosa halter frank,4532090.0,-23.5858164,-46.6826257,POINT (-46.6826257 -23.5858164),355030835000077.0,355030835000077.0,3.0,Regiï¿½o Sudeste,35.0,Sï¿½o Paulo,3515.0,Metropolitana de Sï¿½o Paulo,35061.0,Sï¿½o Paulo,20.0,RM Sï¿½o Paulo,3550308.0,Sï¿½O PAULO,355030835.0,ITAIM BIBI,35503083500.0,ITAIM BIBI,3550308000.0,Sï¿½O PAULO (todos os setores),1.0,0.0,186.0,449.0,2.41,1.5,9133.44,90057943.06,11635.75,85584454.07,5690.07,62529714.2,8811.12,69353294.71
,Jardim Cordeiro,São Paulo,937,6,9,7,7500000.0,8004.268943436499,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rua Adalívia de Toledo,Paineiras do Morumbi,São Paulo,395,4,3,6,2300000.0,5822.784810126583,rua adalívia de toledo,rua adalívia de toledo,5683000.0,-23.6040203,-46.7081092,POINT (-46.7081092 -23.6040203),355030854000004.0,355030854000004.0,3.0,Regiï¿½o Sudeste,35.0,Sï¿½o Paulo,3515.0,Metropolitana de Sï¿½o Paulo,35061.0,Sï¿½o Paulo,20.0,RM Sï¿½o Paulo,3550308.0,Sï¿½O PAULO,355030854.0,MORUMBI,35503085400.0,MORUMBI,3550308000.0,Sï¿½O PAULO (todos os setores),1.0,0.0,77.0,254.0,3.3,1.58,22383.57,439311861.75,24275.14,430393077.12,10033.82,246867410.89,14679.1,293255579.47
Rua Almirante Soares Dutra,Morumbi,São Paulo,558,4,7,14,4900000.0,8781.362007168458,rua almirante soares dutra,rua almirante soares dutra,5654000.0,-23.6058856,-46.7157497,POINT (-46.7157497 -23.6058856),355030854000015.0,355030854000015.0,3.0,Regiï¿½o Sudeste,35.0,Sï¿½o Paulo,3515.0,Metropolitana de Sï¿½o Paulo,35061.0,Sï¿½o Paulo,20.0,RM Sï¿½o Paulo,3550308.0,Sï¿½O PAULO,355030854.0,MORUMBI,35503085400.0,MORUMBI,3550308000.0,Sï¿½O PAULO (todos os setores),1.0,0.0,159.0,542.0,3.41,2.6,5321.6,68650072.89,5756.02,71774906.83,2906.88,34546678.78,4271.15,44965254.75
Rua José Clemente,Jardim Paulista,São Paulo,300,4,2,6,3000000.0,10000.0,rua josé clemente,rua josé clemente,19803045.0,-22.6765717,-50.4354511,POINT (-50.4354511 -22.6765717),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rua Mariana Correia,Jardim Paulistano,São Paulo,290,3,4,4,4500000.0,15517.241379310344,rua mariana correia,rua mariana correia,1444000.0,-23.5722794,-46.6850984,POINT (-46.6850984 -23.5722794),355030862000097.0,355030862000097.0,3.0,Regiï¿½o Sudeste,35.0,Sï¿½o Paulo,3515.0,Metropolitana de Sï¿½o Paulo,35061.0,Sï¿½o Paulo,20.0,RM Sï¿½o Paulo,3550308.0,Sï¿½O PAULO,355030862.0,PINHEIROS,35503086200.0,PINHEIROS,3550308000.0,Sï¿½O PAULO (todos os setores),1.0,0.0,112.0,348.0,3.11,2.38,9162.23,497027071.55,12668.77,644646320.96,4105.0,194639443.28,8941.02,381984906.13
Rua Desembargador Vicente Penteado,Jardim América,São Paulo,310,4,3,2,5000000.0,16129.032258064515,rua desembargador vicente penteado,rua desembargador vicente penteado,1440030.0,-23.5685516,-46.6808978,POINT (-46.6808978 -23.5685516),355030862000095.0,355030862000095.0,3.0,Regiï¿½o Sudeste,35.0,Sï¿½o Paulo,3515.0,Metropolitana de Sï¿½o Paulo,35061.0,Sï¿½o Paulo,20.0,RM Sï¿½o Paulo,3550308.0,Sï¿½O PAULO,355030862.0,PINHEIROS,35503086200.0,PINHEIROS,3550308000.0,Sï¿½O PAULO (todos os setores),1.0,0.0,117.0,341.0,2.91,2.29,5587.69,58727067.9,8381.54,64751104.1,3596.72,47670095.53,6515.2,67449512.46
,Brooklin Paulista,São Paulo,620,4,6,7,4440000.0,7161.290322580645,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rua Gregório Paes de Almeida,Vila Madalena,São Paulo,400,3,5,3,4400000.0,11000.0,rua gregório paes de almeida,rua gregório paes de almeida,5450000.0,-23.5472107,-46.707677,POINT (-46.707677 -23.5472107),355030802000001.0,355030802000001.0,3.0,Regiï¿½o Sudeste,35.0,Sï¿½o Paulo,3515.0,Metropolitana de Sï¿½o Paulo,35061.0,Sï¿½o Paulo,20.0,RM Sï¿½o Paulo,3550308.0,Sï¿½O PAULO,355030802.0,ALTO DE PINHEIROS,35503080200.0,ALTO DE PINHEIROS,3550308000.0,Sï¿½O PAULO (todos os setores),1.0,0.0,157.0,519.0,3.31,2.44,12262.45,159870161.44,12501.32,159999050.55,5832.73,100963455.68,7999.64,121194261.04
Rua Madre Teodora,Jardim Paulista,São Paulo,560,4,6,4,7500000.0,13392.857142857143,rua madre teodora,rua madre teodora,1428010.0,-23.5742317,-46.6615745,POINT (-46.6615745 -23.5742317),355030845000070.0,355030845000070.0,3.0,Regiï¿½o Sudeste,35.0,Sï¿½o Paulo,3515.0,Metropolitana de Sï¿½o Paulo,35061.0,Sï¿½o Paulo,20.0,RM Sï¿½o Paulo,3550308.0,Sï¿½O PAULO,355030845.0,JARDIM PAULISTA,35503084500.0,JARDIM PAULISTA,3550308000.0,Sï¿½O PAULO (todos os setores),1.0,0.0,274.0,749.0,2.73,2.21,7705.53,279935613.8,8984.32,315053382.91,5702.65,170997909.37,7740.12,216413337.63
